agent_id,customer_id,call_at,pickup_at,transfer_at,hangup_at,status,sprin_call
null,1,08:00,null,null,08:00:17,unconnected,2
null,2,08:00,null,null,08:00:16,unconnected,2
1,3,08:00,08:00:17,08:00:17,08:01:13,connected,2
2,4,08:00,08:00:17,08:00:17,08:00:54,connected,2
null,5,08:00,null,null,08:00:22,unconnected,2
3,6,08:00,08:00:18,08:00:18,08:01:24,connected,2
null,7,08:00,null,null,08:00:20,unconnected,2
4,8,08:00,08:00:19,08:00:19,08:01:12,connected,2
null,9,08:00,null,null,08:00:23,unconnected,2
null,10,08:00,null,null,08:00:22,unconnected,2
5,11,08:00,08:00:19,08:00:19,08:01:03,connected,2
null,12,08:00,null,null,08:00:18,unconnected,2
null,13,08:00,null,null,08:00:09,unconnected,2
6,14,08:00,08:00:20,08:00:20,08:01:54,connected,2
7,15,08:00,08:00:20,08:00:20,08:01:39,connected,2
null,16,08:00,null,null,08:00:18,unconnected,2
8,17,08:00,08:00:20,08:00:20,08:01:33,connected,2
9,18,08:00,08:00:20,08:00:20,08:01:23,connected,2
null,19,08:00,null,null,08:00:22,unconnected,2
10,20,08:00,08:00:21,08:00:21,08:01:29,connected,2
null,21,08:00,null,null,08:00:22,unconnected,2
null,22,08:00,null,null,08:00:21,unconnected,2
null,23,08:00,null,null,08:00:19,unconnected,2
null,24,08:00,null,null,08:00:27,unconnected,2
null,25,08:00,null,null,08:00:19,unconnected,2
11,26,08:00,08:00:22,08:00:22,08:01:02,connected,2
null,27,08:00,null,null,08:00:16,unconnected,2
null,28,08:00,null,null,08:00:17,unconnected,2
12,29,08:00,08:00:25,08:00:25,08:02:01,connected,2
null,30,08:00,null,null,08:00:21,unconnected,2
null,31,08:00:16,null,null,08:00:37,unconnected,2
null,32,08:00:16,null,null,08:00:42,unconnected,2
null,33,08:00:16,null,null,08:00:33,unconnected,2
null,34,08:00:16,null,null,08:00:37,unconnected,2
null,35,08:00:16,null,null,08:00:34,unconnected,2
13,36,08:00:16,08:00:34,08:00:34,08:01:21,connected,2
14,37,08:00:16,08:00:34,08:00:34,08:01:43,connected,2
null,38,08:00:16,null,null,08:00:42,unconnected,2
null,39,08:00:16,null,null,08:00:41,unconnected,2
null,40,08:00:16,null,null,08:00:34,unconnected,2
15,41,08:00:16,08:00:35,08:00:35,08:01:42,connected,2
null,42,08:00:16,null,null,08:00:35,unconnected,2
null,43,08:00:16,null,null,08:00:37,unconnected,2
