agent_id,customer_id,call_at,pickup_at,transfer_at,hangup_at,status,sprin_call
1,1,08:00,08:00:13,08:00:13,08:01:18,connected,2.0
null,2,08:00,null,null,08:00:18,unconnected,2.0
2,3,08:00,08:00:13,08:00:13,08:01:31,connected,2.0
3,4,08:00,08:00:14,08:00:14,08:01:02,connected,2.0
null,5,08:00,null,null,08:00:15,unconnected,2.0
4,6,08:00,08:00:16,08:00:16,08:01:01,connected,2.0
null,7,08:00,null,null,08:00:18,unconnected,2.0
null,8,08:00,null,null,08:00:23,unconnected,2.0
null,9,08:00,null,null,08:00:23,unconnected,2.0
5,10,08:00,08:00:18,08:00:18,08:01:01,connected,2.0
6,11,08:00,08:00:18,08:00:18,08:01:29,connected,2.0
7,12,08:00,08:00:19,08:00:19,08:02:07,connected,2.0
null,13,08:00,null,null,08:00:17,unconnected,2.0
8,14,08:00,08:00:20,08:00:20,08:01:33,connected,2.0
null,15,08:00,null,null,08:00:21,unconnected,2.0
9,16,08:00,08:00:21,08:00:21,08:01:01,connected,2.0
10,17,08:00,08:00:22,08:00:22,08:01:06,connected,2.0
11,18,08:00,08:00:22,08:00:22,08:02,connected,2.0
null,19,08:00,null,null,08:00:21,unconnected,2.0
null,20,08:00,null,null,08:00:25,unconnected,2.0
null,21,08:00,null,null,08:00:25,unconnected,2.0
12,22,08:00,08:00:23,08:00:23,08:01:41,connected,2.0
13,23,08:00,08:00:23,08:00:23,08:01:26,connected,2.0
null,24,08:00,null,null,08:00:19,unconnected,2.0
14,25,08:00,08:00:24,08:00:24,08:01:19,connected,2.0
null,26,08:00,null,null,08:00:20,unconnected,2.0
15,27,08:00,08:00:25,08:00:25,08:01:18,connected,2.0
null,28,08:00,null,null,08:00:23,unconnected,2.0
null,29,08:00,08:00:25,null,08:00:35,abandon,2.0
null,30,08:00,08:00:26,null,08:00:36,abandon,2.0
3,31,08:01:03,08:01:15,08:01:15,08:02:28,connected,2.0
null,32,08:01:04,null,null,08:01:26,unconnected,2.0
1,33,08:01:04,08:01:21,08:01:21,08:02:09,connected,2.0
null,34,08:01:02,null,null,08:01:21,unconnected,2.0
4,35,08:01:02,08:01:22,08:01:22,08:02:49,connected,2.0
5,36,08:01:02,08:01:23,08:01:23,08:02:44,connected,2.0
9,37,08:01:02,08:01:23,08:01:23,08:02:24,connected,2.0
null,38,08:01:02,null,null,08:01:23,unconnected,2.0
10,39,08:01:02,08:01:23,08:01:23,08:02:50,connected,2.0
14,40,08:01:04,08:01:24,08:01:24,08:02:31,connected,2.0
15,41,08:01:04,08:01:26,08:01:26,08:02:15,connected,2.0
13,42,08:01:04,08:01:30,08:01:30,08:02:51,connected,2.0
null,43,08:01:04,null,null,08:01:28,unconnected,2.0
null,44,08:01:03,null,null,08:01:24,unconnected,2.0
null,45,08:01:21,null,null,08:01:38,unconnected,2.0
2,46,08:01:21,08:01:36,08:01:36,08:02:28,connected,2.0
6,47,08:01:21,08:01:37,08:01:37,08:02:50,connected,2.0
null,48,08:01:21,null,null,08:01:44,unconnected,2.0
8,49,08:01:21,08:01:38,08:01:38,08:02:40,connected,2.0
null,50,08:01:21,null,null,08:01:41,unconnected,2.0
null,51,08:01:21,null,null,08:01:40,unconnected,2.0
null,52,08:01:21,08:01:43,null,08:01:53,abandon,2.0
11,53,08:01:49,08:02:06,08:02:06,08:03:01,connected,2.0
null,54,08:01:21,08:01:43,null,08:01:53,abandon,2.0
7,55,08:01:49,08:02:09,08:02:09,08:03:09,connected,2.0
null,56,08:01:21,08:01:43,null,08:01:53,abandon,2.0
1,57,08:02:01,08:02:20,08:02:20,08:03:28,connected,2.0
12,58,08:02:01,08:02:24,08:02:24,08:03:21,connected,2.0
null,59,08:02:01,null,null,08:02:22,unconnected,2.0
9,60,08:02:01,08:02:27,08:02:27,08:03:04,connected,2.0
null,61,08:01:21,08:01:44,null,08:01:54,abandon,2.0
null,62,08:02:16,null,null,08:02:40,unconnected,2.0
null,63,08:01:21,08:01:45,null,08:01:55,abandon,2.0
2,64,08:02:16,08:02:33,08:02:33,08:03:19,connected,2.0
null,65,08:02:16,null,null,08:02:41,unconnected,2.0
null,66,08:02:16,null,null,08:02:32,unconnected,2.0
null,67,08:02:16,null,null,08:02:38,unconnected,2.0
null,68,08:02:16,null,null,08:02:37,unconnected,2.0
null,69,08:01:21,08:01:46,null,08:01:56,abandon,2.0
null,70,08:01:21,08:01:47,null,08:01:57,abandon,2.0
